feature,No,Yes,MeanDecreaseAccuracy,Overall
credit_score,10.85246160937675,10.84183891217537,14.53254758554998,786.1281039342585
loan_to_income_ratio,14.101632352930185,-8.69030294946987,13.202839852579002,559.7909319728145
credit_utilization,5.033633884733273,0.14649000016659625,4.637149607090778,554.3437214534944
annual_income,16.2888790018136,-9.45396687679754,14.371691436372304,534.1680259719978
loan_amount,13.220559442746437,-6.914458962765642,11.808407329590457,534.1075250278708
debt_to_income_ratio,18.65834527381508,-8.849975143906594,17.05015097310596,524.5316090138741
existing_debt,17.834008810164818,-11.424552426620364,15.780409941527463,498.40554491524875
age,0.28942364849227536,-1.4680428880621812,-0.4756582634780718,467.6252992944239
employment_length_years,2.7306417157512106,4.20018011324483,4.327523000348348,458.81884824190485
number_of_open_accounts,-2.097321155774343,-2.946959008253003,-3.6853423091575506,374.79014279983477
total_risk_flags,17.691688149165813,5.669956315842604,21.37628865946919,368.1051525761933
loan_purpose,-0.13251079407434868,0.7314847016145181,0.226797871560521,325.5061869469188
missed_payments_last_12_months,7.2326778130621685,0.3711358703968293,7.293199334318744,170.66926571139277
home_ownership,1.139002456656931,2.6573458242781136,2.4902643599770737,119.7440027235525
